41,-2147483648
54,-2147483648
76,-2147483648
5,29
64,-2147483648
66,-2147483648
50,-2147483648
79,-2147483648
61,-2147483648
65,-2147483648
30,0
51,-2147483648
81,-2147483648
64,-2147483648
30,0
87,-2147483648
59,-2147483648
96,-2147483648
68,-2147483648
31,-2147483648
60,-2147483648
35,-2147483648
4,29
67,-2147483648
84,-2147483648
66,-2147483648
93,-2147483648
3,29
44,-2147483648
6,29
15,25
38,-2147483648
22,20
42,-2147483648
52,-2147483648
75,-2147483648
25,16
39,-2147483648
20,22
49,-2147483648
30,0
16,25
85,-2147483648
58,-2147483648
26,14
89,-2147483648
98,-2147483648
23,19
93,-2147483648
3,29
19,23
42,-2147483648
58,-2147483648
50,-2147483648
6,29
12,27
27,13
41,-2147483648
81,-2147483648
36,-2147483648
64,-2147483648
37,-2147483648
4,29
55,-2147483648
27,13
49,-2147483648
12,27
77,-2147483648
70,-2147483648
57,-2147483648
4,29
60,-2147483648
89,-2147483648
82,-2147483648
75,-2147483648
59,-2147483648
89,-2147483648
80,-2147483648
87,-2147483648
98,-2147483648
18,24
21,21
92,-2147483648
5,29
60,-2147483648
73,-2147483648
43,-2147483648
30,0
75,-2147483648
11,27
8,28
79,-2147483648
37,-2147483648
27,13
18,24
27,13
82,-2147483648
80,-2147483648
63,-2147483648
19,23
63,-2147483648
16,25
39,-2147483648
28,10
88,-2147483648
5,29
33,-2147483648
47,-2147483648
22,20
82,-2147483648
23,19
89,-2147483648
97,-2147483648
50,-2147483648
38,-2147483648
52,-2147483648
25,16
21,21
58,-2147483648
85,-2147483648
100,-2147483648
29,7
7,29
32,-2147483648
55,-2147483648
91,-2147483648
72,-2147483648
29,7
88,-2147483648
66,-2147483648
2,29
61,-2147483648
23,19
87,-2147483648
9,28
64,-2147483648
48,-2147483648
49,-2147483648
54,-2147483648
28,10
93,-2147483648
15,25
12,27
34,-2147483648
64,-2147483648
84,-2147483648
73,-2147483648
67,-2147483648
99,-2147483648
85,-2147483648
72,-2147483648
74,-2147483648
69,-2147483648
74,-2147483648
100,-2147483648
7,29
68,-2147483648
82,-2147483648
94,-2147483648
71,-2147483648
77,-2147483648
28,10
27,13
7,29
88,-2147483648
78,-2147483648
36,-2147483648
14,26
57,-2147483648
71,-2147483648
94,-2147483648
59,-2147483648
89,-2147483648
66,-2147483648
38,-2147483648
42,-2147483648
21,21
72,-2147483648
37,-2147483648
46,-2147483648
12,27
62,-2147483648
83,-2147483648
23,19
59,-2147483648
79,-2147483648
77,-2147483648
73,-2147483648
38,-2147483648
63,-2147483648
25,16
92,-2147483648
89,-2147483648
45,-2147483648
93,-2147483648
49,-2147483648
48,-2147483648
10,28
94,-2147483648
89,-2147483648
